Pothole Detection Log
Format: [Class, Width, Height, Damage Ratio]

[roadpothole, Width: 62, Height: 216, Damage Ratio: 0.92]
[roadpothole, Width: 229, Height: 199, Damage Ratio: 0.97]
[roadpothole, Width: 78, Height: 98, Damage Ratio: 0.88]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.89]
[roadpothole, Width: 62, Height: 227, Damage Ratio: 0.92]
[roadpothole, Width: 273, Height: 198, Damage Ratio: 0.96]
[roadpothole, Width: 75, Height: 102, Damage Ratio: 0.91]
[roadpothole, Width: 62, Height: 224, Damage Ratio: 0.93]
[roadpothole, Width: 24, Height: 4, Damage Ratio: 555.10]
[roadpothole, Width: 13, Height: 3, Damage Ratio: 1366.40]
[roadpothole, Width: 5, Height: 1, Damage Ratio: 10657.90]
[roadpothole, Width: 304, Height: 198, Damage Ratio: 0.89]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.90]
[roadpothole, Width: 62, Height: 229, Damage Ratio: 0.93]
[roadpothole, Width: 305, Height: 198, Damage Ratio: 0.98]
[roadpothole, Width: 76, Height: 102, Damage Ratio: 0.92]
[roadpothole, Width: 62, Height: 229, Damage Ratio: 0.92]
[roadpothole, Width: 273, Height: 199, Damage Ratio: 0.96]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.90]
[roadpothole, Width: 62, Height: 226, Damage Ratio: 0.92]
[roadpothole, Width: 273, Height: 198, Damage Ratio: 0.96]
[roadpothole, Width: 76, Height: 100, Damage Ratio: 0.91]
[roadpothole, Width: 62, Height: 226, Damage Ratio: 0.92]
[roadpothole, Width: 299, Height: 198, Damage Ratio: 0.95]
[roadpothole, Width: 78, Height: 103, Damage Ratio: 0.91]
[roadpothole, Width: 62, Height: 234, Damage Ratio: 0.93]
[roadpothole, Width: 273, Height: 197, Damage Ratio: 0.95]
[roadpothole, Width: 71, Height: 103, Damage Ratio: 0.93]
[roadpothole, Width: 1, Height: 2, Damage Ratio: 31020.47]
[roadpothole, Width: 4, Height: 2, Damage Ratio: 7755.12]
[roadpothole, Width: 465, Height: 227, Damage Ratio: 0.59]
[roadpothole, Width: 78, Height: 103, Damage Ratio: 0.92]
[roadpothole, Width: 29, Height: 19, Damage Ratio: 56.25]
[roadpothole, Width: 304, Height: 135, Damage Ratio: 0.76]
[roadpothole, Width: 203, Height: 116, Damage Ratio: 0.86]
[roadpothole, Width: 71, Height: 103, Damage Ratio: 0.94]
[roadpothole, Width: 49, Height: 248, Damage Ratio: 0.98]
[roadpothole, Width: 71, Height: 102, Damage Ratio: 0.92]
[roadpothole, Width: 56, Height: 239, Damage Ratio: 0.98]
[roadpothole, Width: 197, Height: 199, Damage Ratio: 0.95]
[roadpothole, Width: 100, Height: 118, Damage Ratio: 0.93]
[roadpothole, Width: 197, Height: 130, Damage Ratio: 0.95]
[roadpothole, Width: 217, Height: 154, Damage Ratio: 0.75]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.92]
[roadpothole, Width: 203, Height: 198, Damage Ratio: 0.98]
[roadpothole, Width: 56, Height: 228, Damage Ratio: 0.97]
[roadpothole, Width: 113, Height: 117, Damage Ratio: 0.94]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.90]
[roadpothole, Width: 203, Height: 198, Damage Ratio: 0.98]
[roadpothole, Width: 94, Height: 111, Damage Ratio: 0.92]
[roadpothole, Width: 113, Height: 317, Damage Ratio: 0.94]
[roadpothole, Width: 56, Height: 249, Damage Ratio: 0.97]
[roadpothole, Width: 203, Height: 142, Damage Ratio: 0.99]
[roadpothole, Width: 78, Height: 102, Damage Ratio: 0.90]
[roadpothole, Width: 56, Height: 242, Damage Ratio: 0.96]
[roadpothole, Width: 280, Height: 192, Damage Ratio: 0.89]
[roadpothole, Width: 71, Height: 100, Damage Ratio: 0.95]
